name,PLD,LCD,ASA,Density,VF
20191N2,30.21251,30.37948,923.693,0.377262,0.8122
20201N2,16.54998,16.79344,1214.01,0.600893,0.6872
20202N2,28.39031,28.74787,961.808,0.394082,0.792
20203N2,32.5236,32.95889,1066.59,0.467079,0.7424
20210N2,15.76019,16.19017,1343.45,0.486203,0.7554
20211N2,20.37253,20.90007,1204.87,0.412557,0.7766
20220N2,16.41854,16.79371,1267.58,0.539296,0.7352
20250N2,32.60807,32.80324,919.047,0.320416,0.8262
20260N3,11.71874,11.9102,955.865,0.9442,0.481
20261N3,16.14796,16.30386,1000.43,0.779671,0.5738
20280N2,15.25916,15.76505,1234.89,0.620781,0.6884
20281N2,21.91682,22.52009,1134.73,0.47916,0.7552
20282N2,20.59511,21.12963,1170.87,0.499172,0.7494
