,name,PLD,LCD,ASA,Density,VF,site,ratio,T,DC
159,13071N2,17.35378,17.57051,1139.28,0.605214,0.6966,0.0,0.0,111,2.925499276071429
160,13071N2,17.35378,17.57051,1139.28,0.605214,0.6966,0.0,0.0,231,1.1056191625892857
161,13071N2,17.35378,17.57051,1139.28,0.605214,0.6966,0.0,0.0,296,0.7795246177678571
162,13072N2,19.51535,19.94726,1115.83,0.598194,0.7116,0.0,0.0,111,3.0353994650892857
163,13072N2,19.51535,19.94726,1115.83,0.598194,0.7116,0.0,0.0,231,1.1732671163392858
164,13072N2,19.51535,19.94726,1115.83,0.598194,0.7116,0.0,0.0,296,0.8217425191964287
165,13073N2,16.99861,17.33898,1143.76,0.711626,0.6744,0.0,0.0,111,2.4262050525000003
166,13073N2,16.99861,17.33898,1143.76,0.711626,0.6744,0.0,0.0,231,0.9405517571428571
167,13073N2,16.99861,17.33898,1143.76,0.711626,0.6744,0.0,0.0,296,0.6604694353571429
168,13074N2,15.85266,16.23125,1260.7,0.671669,0.6684,0.0,0.0,111,2.4708857570535714
169,13074N2,15.85266,16.23125,1260.7,0.671669,0.6684,0.0,0.0,231,0.9509297323214286
170,13074N2,15.85266,16.23125,1260.7,0.671669,0.6684,0.0,0.0,296,0.6527106071428571
171,13075N2,12.51191,12.84025,1266.65,0.843315,0.6346,0.0,0.0,111,2.0747980900000003
172,13075N2,12.51191,12.84025,1266.65,0.843315,0.6346,0.0,0.0,231,0.8125663945535714
173,13075N2,12.51191,12.84025,1266.65,0.843315,0.6346,0.0,0.0,296,0.5503561659821429
174,13076N2,12.18295,12.45606,1235.68,0.973686,0.6056,0.0,0.0,111,1.766090167232143
175,13076N2,12.18295,12.45606,1235.68,0.973686,0.6056,0.0,0.0,231,0.6796855190178571
176,13076N2,12.18295,12.45606,1235.68,0.973686,0.6056,0.0,0.0,296,0.4487690961607143
177,13077N2,10.97829,11.27834,1314.26,0.878242,0.6122,0.0,0.0,111,1.8409547607142858
178,13077N2,10.97829,11.27834,1314.26,0.878242,0.6122,0.0,0.0,231,0.7651860145535715
179,13077N2,10.97829,11.27834,1314.26,0.878242,0.6122,0.0,0.0,296,0.5107235025
180,13078N2,9.83484,10.54691,1393.62,0.923775,0.6158,0.0,0.0,111,1.679862489464286
181,13078N2,9.83484,10.54691,1393.62,0.923775,0.6158,0.0,0.0,231,0.7749029916071429
182,13078N2,9.83484,10.54691,1393.62,0.923775,0.6158,0.0,0.0,296,0.5063286301785715
183,13080N2,14.87989,15.17518,1226.03,0.797164,0.6326,0.0,0.0,111,1.9714687345535715
184,13080N2,14.87989,15.17518,1226.03,0.797164,0.6326,0.0,0.0,231,0.8257774175000001
185,13080N2,14.87989,15.17518,1226.03,0.797164,0.6326,0.0,0.0,296,0.5698181191964286
186,13090N2,21.78338,22.02192,1048.38,0.577518,0.75,0.0,0.0,111,3.457614850625
187,13090N2,21.78338,22.02192,1048.38,0.577518,0.75,0.0,0.0,231,1.3812035818750001
188,13090N2,21.78338,22.02192,1048.38,0.577518,0.75,0.0,0.0,296,0.9724533707142858
189,13100N2,18.41775,19.07895,1224.74,0.48227,0.7502,0.0,0.0,111,4.007520625625
190,13100N2,18.41775,19.07895,1224.74,0.48227,0.7502,0.0,0.0,231,1.527173203839286
191,13100N2,18.41775,19.07895,1224.74,0.48227,0.7502,0.0,0.0,296,1.0652564158035716
192,13110N2,11.21613,11.58627,1408.38,0.740952,0.6642,0.0,0.0,111,2.2860288008035714
193,13110N2,11.21613,11.58627,1408.38,0.740952,0.6642,0.0,0.0,231,0.8850280727678573
194,13110N2,11.21613,11.58627,1408.38,0.740952,0.6642,0.0,0.0,296,0.5936727790178572
195,13120N2,13.14222,13.52573,1287.14,0.661192,0.6736,0.0,0.0,111,2.5192997839285716
196,13120N2,13.14222,13.52573,1287.14,0.661192,0.6736,0.0,0.0,231,0.9734090468750002
197,13120N2,13.14222,13.52573,1287.14,0.661192,0.6736,0.0,0.0,296,0.6626436718750001
198,13121N2,19.30853,19.5919,1142.48,0.52667,0.7306,0.0,0.0,111,3.5309607840178576
199,13121N2,19.30853,19.5919,1142.48,0.52667,0.7306,0.0,0.0,231,1.368517515
200,13121N2,19.30853,19.5919,1142.48,0.52667,0.7306,0.0,0.0,296,0.9554221558035715
201,13122N2,27.34418,27.50463,972.55,0.402596,0.7932,0.0,0.0,111,4.54822432
202,13122N2,27.34418,27.50463,972.55,0.402596,0.7932,0.0,0.0,231,1.7658675658035714
203,13122N2,27.34418,27.50463,972.55,0.402596,0.7932,0.0,0.0,296,1.2616097678571432
204,13123N2,17.45545,17.75202,1152.45,0.616965,0.7004,0.0,0.0,111,2.9106185519642858
205,13123N2,17.45545,17.75202,1152.45,0.616965,0.7004,0.0,0.0,231,1.168142591875
206,13123N2,17.45545,17.75202,1152.45,0.616965,0.7004,0.0,0.0,296,0.8100046253571428
207,13130N2,39.61516,39.76837,747.749,0.378002,0.8206,0.0,0.0,111,4.945969524464286
208,13130N2,39.61516,39.76837,747.749,0.378002,0.8206,0.0,0.0,231,1.984315560892857
209,13130N2,39.61516,39.76837,747.749,0.378002,0.8206,0.0,0.0,296,1.469766229642857
210,13140N2,5.73591,6.47206,1176.09,1.13218,0.4852,0.0,0.0,111,0.8134825177678573
211,13140N2,5.73591,6.47206,1176.09,1.13218,0.4852,0.0,0.0,231,0.47705669196428574
212,13140N2,5.73591,6.47206,1176.09,1.13218,0.4852,0.0,0.0,296,0.2944008349107143
213,13141N2,12.42246,12.68633,1297.84,0.818447,0.6304,0.0,0.0,111,2.1241736221428575
214,13141N2,12.42246,12.68633,1297.84,0.818447,0.6304,0.0,0.0,231,0.8159346212499999
215,13141N2,12.42246,12.68633,1297.84,0.818447,0.6304,0.0,0.0,296,0.5494470245535715
216,13142N2,9.09729,9.61708,1246.5,1.0118,0.5664,0.0,0.0,111,1.5185119123214288
217,13142N2,9.09729,9.61708,1246.5,1.0118,0.5664,0.0,0.0,231,0.6807711210714287
218,13142N2,9.09729,9.61708,1246.5,1.0118,0.5664,0.0,0.0,296,0.450018919375
219,13150N2,19.29968,19.52597,1136.72,0.553389,0.7238,0.0,0.0,111,3.404867526160715
220,13150N2,19.29968,19.52597,1136.72,0.553389,0.7238,0.0,0.0,231,1.3219038165178572
221,13150N2,19.29968,19.52597,1136.72,0.553389,0.7238,0.0,0.0,296,0.933298410357143
222,13160N2,19.20747,19.47383,1209.1,0.49874,0.763,0.0,0.0,111,3.7073942513392857
223,13160N2,19.20747,19.47383,1209.1,0.49874,0.763,0.0,0.0,231,1.4100320306250003
224,13160N2,19.20747,19.47383,1209.1,0.49874,0.763,0.0,0.0,296,0.982431955982143
