Number,Name,PLD,LCD,VSA,Density,VF,H,C,N,O,Metal,Metal_count,Number_group
326,18100N2,32.98954,33.17197,918.882,0.352868,0.8164,72.0,132.0,12.0,12.0,0,0,12
327,18101N2,28.26931,28.47879,1016.3,0.41945,0.7826,72.0,120.0,12.0,12.0,0,0,12
328,18110N2,16.15375,16.51788,1213.62,0.687086,0.6636,136.0,224.0,16.0,0.0,0,0,24
329,18111N2,17.28794,17.6262,1189.6,0.725925,0.6778,104.0,224.0,16.0,0.0,0,0,16
330,18112N2,16.60555,16.94837,1204.94,0.737921,0.676,104.0,224.0,16.0,16.0,0,0,16
331,18120N3,6.98122,7.53693,2009.28,0.493027,0.716,112.0,160.0,16.0,0.0,0,0,20
332,18121N3,6.06486,6.13559,1019.51,0.933924,0.495,144.0,212.0,16.0,0.0,0,0,32
333,18122N3,7.82122,8.03432,1188.47,0.829418,0.5534,176.0,260.0,16.0,0.0,0,0,40
334,18130N3,8.9372,9.07194,1519.94,0.733931,0.6298,112.0,164.0,16.0,0.0,0,0,24
335,18131N3,4.09217,4.35137,566.262,1.1151,0.431,112.0,164.0,16.0,0.0,0,0,24
336,18132N3,8.87995,8.97859,1510.42,0.735312,0.6202,112.0,164.0,16.0,0.0,0,0,24
337,18133N3,7.14934,8.65257,1869.76,0.619925,0.6912,216.0,318.0,24.0,0.0,0,0,48
338,18134N3,13.19498,13.6119,1551.14,0.54766,0.7216,86.0,134.0,16.0,0.0,0,0,14
339,18140N2,17.97835,18.52351,1321.87,0.40444,0.787,72.0,96.0,8.0,0.0,0,0,12
340,18141N2,19.51385,19.79874,1181.92,0.441063,0.766,78.0,108.0,6.0,0.0,0,0,12
341,18142N3,27.77247,30.32292,1055.52,0.141689,0.918,108.0,162.0,16.0,0.0,0,0,24
342,18143N3,30.43642,35.0199,892.832,0.109984,0.9394,120.0,186.0,12.0,0.0,0,0,22
343,18150N2,13.45082,13.78326,1297.05,0.92742,0.621,22.0,72.0,12.0,12.0,0,0,0
344,18151N2,21.77837,22.00137,1072.28,0.648722,0.7076,48.0,108.0,12.0,12.0,0,0,0
345,18160N2,18.59478,18.87398,1149.74,0.57606,0.7164,54.0,90.0,18.0,0.0,0,0,12
346,18161N2,16.56702,16.89116,1192.86,0.716559,0.688,42.0,90.0,18.0,0.0,0,0,6
347,19000N3,16.64848,19.29611,1298.35,0.207045,0.8974,64.0,88.0,8.0,0.0,0,0,8
348,19001N3,6.25088,8.81151,2625.06,0.422471,0.7962,64.0,88.0,8.0,0.0,0,0,8
349,19002N3,20.28649,23.97998,975.024,0.140829,0.9302,72.0,118.0,8.0,0.0,0,0,16
350,19003N3,8.93489,11.12571,1965.91,0.288804,0.861,72.0,118.0,8.0,0.0,0,0,16
351,19010N2,10.66013,10.97505,1281.29,0.802361,0.5982,168.0,296.0,32.0,0.0,0,0,32
352,19020N3,8.93284,11.92097,2032.8,0.303867,0.8542,96.0,164.0,16.0,16.0,0,0,0
353,19021N3,2.05596,3.18411,0.0,1.34656,0.345,96.0,164.0,16.0,16.0,0,0,0
354,19022N3,8.27158,10.98008,2240.86,0.343281,0.8366,96.0,164.0,16.0,16.0,0,0,0
355,19023N3,1.91698,3.53582,0.0,1.39534,0.3434,96.0,164.0,16.0,16.0,0,0,0
356,19030N2,10.63601,10.855,1461.68,0.724467,0.6584,90.0,126.0,36.0,24.0,0,0,0
357,19031N2,7.55574,8.57775,2015.59,0.724467,0.66,90.0,126.0,36.0,24.0,0,0,0
358,19040N2,13.32415,13.81042,1302.4,0.716222,0.6686,120.0,224.0,16.0,24.0,4,8,16
359,19041N2,24.87317,25.07646,1049.36,0.501009,0.7736,72.0,132.0,24.0,18.0,4,6,12
360,19050N2,33.50221,33.67402,912.983,0.404282,0.811,60.0,132.0,24.0,0.0,0,0,12
361,19051N2,34.29511,34.45228,881.759,0.383975,0.815,60.0,144.0,24.0,0.0,0,0,12
362,19060N2,15.43355,15.65803,1199.98,0.583835,0.6972,0.0,0.0,0.0,0.0,0,0,12
363,19061N2,16.14031,16.249,1190.16,0.560777,0.704,84.0,112.0,8.0,2.0,0,0,12
364,19070N2,28.64974,28.83691,1018.63,0.511162,0.7654,72.0,132.0,36.0,12.0,0,0,12
365,19071N2,9.66512,10.34676,2704.34,0.517673,0.7688,72.0,132.0,36.0,12.0,0,0,12
366,19072N2,7.36122,8.10224,2714.51,0.511212,0.767,108.0,198.0,54.0,18.0,0,0,18
367,19080N2,17.37251,17.70188,1314.25,0.62246,0.702,84.0,96.0,24.0,24.0,0,0,0
368,19090N2,28.4495,28.64646,953.488,0.471219,0.7862,60.0,132.0,24.0,12.0,0,0,12
369,19100N2,6.42036,7.12861,1816.34,0.852919,0.6278,24.0,120.0,0.0,24.0,0,0,0
